question_id,correct_option
1001,6/1
1002,4/3
1003,3/5
1004,3/2
1005,1/4
1006,5/3
1007,7/6
1008,5/4
1009,12/7
1010,2/5
1011,1/2
1012,4/7
1013,4/1
1014,1/2
1015,6/1
1016,8/3
1017,5/9
1018,1/1
1019,11/8
1020,10/3
1021,3/2
1022,11/6
1023,2/1
1024,8/9
1025,10/3
1026,1/1
1027,3/1
1028,2/3
1029,3/4
1030,5/3
1031,1/1
1032,1/2
1033,13/10
1034,1/1
1035,1/1
1036,6/5
1037,2/5
1038,11/8
1039,5/4
1040,6/5
1041,1/1
1042,3/2
1043,8/5
1044,3/4
1045,7/8
1046,1/2
1047,1/1
1048,1/1
1049,11/12
1050,3/10
1051,5/6
1052,7/5
1053,5/4
1054,4/5
1055,5/6
1056,>
1057,<
1058,>
1059,>
1060,<
1061,<
1062,>
1063,<
1064,<
1065,<
1066,>
1067,<
1068,<
1069,>
1070,<
1071,>
1072,>
1073,<
1074,>
1075,>
1076,45/16
1077,9/8
1078,1/1
1079,2/5
1080,8/15
1081,5/9
1082,1/4
1083,2/3
1084,1/3
1085,5/16
1086,5/7
1087,3/2
1088,1/4
1089,1/7
1090,7/8
1091,5/32
1092,1/10
1093,3/4
1094,4/9
1095,3/8
1096,6/5
1097,1/4
1098,20/63
1099,1/2
1100,14/25
