question_id,question,option_a,option_b,option_c,option_d,concept,chapter,page
1001,بسّط الكسر 36/6 إلى أبسط صورة,36/6,6/2,6/1,12/2,الكسور,1,C1-1
1002,بسّط الكسر 12/9 إلى أبسط صورة,12/9,8/6,4/3,4/6,الكسور,1,C1-1
1003,بسّط الكسر 15/25 إلى أبسط صورة,15/25,3/10,6/10,3/5,الكسور,1,C1-1
1004,بسّط الكسر 120/80 إلى أبسط صورة,3/2,6/4,3/4,120/80,الكسور,1,C1-1
1005,بسّط الكسر 8/32 إلى أبسط صورة,1/8,1/4,8/32,2/8,الكسور,1,C1-1
1006,بسّط الكسر 35/21 إلى أبسط صورة,10/6,5/6,35/21,5/3,الكسور,1,C1-1
1007,بسّط الكسر 49/42 إلى أبسط صورة,7/12,49/42,14/12,7/6,الكسور,1,C1-1
1008,بسّط الكسر 30/24 إلى أبسط صورة,5/8,30/24,10/8,5/4,الكسور,1,C1-1
1009,بسّط الكسر 132/77 إلى أبسط صورة,12/14,12/7,24/14,132/77,الكسور,1,C1-1
1010,بسّط الكسر 24/60 إلى أبسط صورة,24/60,2/10,2/5,4/10,الكسور,1,C1-1
1011,بسّط الكسر 24/48 إلى أبسط صورة,1/2,24/48,2/4,1/4,الكسور,1,C1-1
1012,بسّط الكسر 28/49 إلى أبسط صورة,4/7,4/14,8/14,28/49,الكسور,1,C1-1
1013,بسّط الكسر 144/36 إلى أبسط صورة,4/2,4/1,8/2,144/36,الكسور,1,C1-1
1014,بسّط الكسر 36/72 إلى أبسط صورة,36/72,1/2,1/4,2/4,الكسور,1,C1-1
1015,بسّط الكسر 84/14 إلى أبسط صورة,12/2,6/2,6/1,84/14,الكسور,1,C1-1
1016,بسّط الكسر 48/18 إلى أبسط صورة,8/3,8/6,16/6,48/18,الكسور,1,C1-1
1017,بسّط الكسر 60/108 إلى أبسط صورة,5/9,60/108,10/18,5/18,الكسور,1,C1-1
1018,بسّط الكسر 24/24 إلى أبسط صورة,1/1,1/2,2/2,24/24,الكسور,1,C1-1
1019,بسّط الكسر 88/64 إلى أبسط صورة,88/64,11/16,11/8,22/16,الكسور,1,C1-1
1020,بسّط الكسر 90/27 إلى أبسط صورة,90/27,20/6,10/6,10/3,الكسور,1,C1-1
1021,بسّط الكسر 48/32 إلى أبسط صورة,3/4,6/4,48/32,3/2,الكسور,1,C1-1
1022,بسّط الكسر 99/54 إلى أبسط صورة,99/54,11/12,22/12,11/6,الكسور,1,C1-1
1023,بسّط الكسر 120/60 إلى أبسط صورة,2/2,120/60,2/1,4/2,الكسور,1,C1-1
1024,بسّط الكسر 32/36 إلى أبسط صورة,8/18,32/36,16/18,8/9,الكسور,1,C1-1
1025,بسّط الكسر 40/12 إلى أبسط صورة,40/12,10/3,10/6,20/6,الكسور,1,C1-1
1026,بسّط الكسر 28/28 إلى أبسط صورة,1/2,28/28,2/2,1/1,الكسور,1,C1-1
1027,بسّط الكسر 18/6 إلى أبسط صورة,3/2,3/1,18/6,6/2,الكسور,1,C1-1
1028,بسّط الكسر 10/15 إلى أبسط صورة,2/6,10/15,4/6,2/3,الكسور,1,C1-1
1029,بسّط الكسر 30/40 إلى أبسط صورة,3/4,3/8,6/8,30/40,الكسور,1,C1-1
1030,بسّط الكسر 40/24 إلى أبسط صورة,40/24,10/6,5/3,5/6,الكسور,1,C1-1
1031,احسب: 5/12 + 7/12,1/1,1/2,12/12,2/12,جمع الكسور,1,C1-2
1032,احسب: 1/4 + 1/4,0/4,1/4,2/4,1/2,جمع الكسور,1,C1-2
1033,احسب: 9/10 + 4/10,13/20,5/10,13/10,13/10,جمع الكسور,1,C1-2
1034,احسب: 11/12 + 1/12,1/2,10/12,1/1,12/12,جمع الكسور,1,C1-2
1035,احسب: 1/6 + 5/6,1/1,4/6,1/2,6/6,جمع الكسور,1,C1-2
1036,احسب: 2/5 + 4/5,6/5,2/5,6/10,6/5,جمع الكسور,1,C1-2
1037,احسب: 1/5 + 1/5,2/5,0/5,2/5,2/10,جمع الكسور,1,C1-2
1038,احسب: 4/8 + 7/8,11/8,11/16,3/8,11/8,جمع الكسور,1,C1-2
1039,احسب: 2/4 + 3/4,5/4,5/8,5/4,1/4,جمع الكسور,1,C1-2
1040,احسب: 2/5 + 4/5,2/5,6/5,6/10,6/5,جمع الكسور,1,C1-2
1041,احسب: 4/6 + 2/6,2/6,1/2,6/6,1/1,جمع الكسور,1,C1-2
1042,احسب: 3/4 + 3/4,6/4,0/4,3/4,3/2,جمع الكسور,1,C1-2
1043,احسب: 4/5 + 4/5,0/5,8/5,8/5,8/10,جمع الكسور,1,C1-2
1044,احسب: 1/4 + 2/4,3/8,1/4,3/4,3/4,جمع الكسور,1,C1-2
1045,احسب: 3/8 + 4/8,7/8,1/8,7/8,7/16,جمع الكسور,1,C1-2
1046,احسب: 2/6 + 1/6,1/4,3/6,1/6,1/2,جمع الكسور,1,C1-2
1047,احسب: 1/4 + 3/4,4/4,1/1,2/4,1/2,جمع الكسور,1,C1-2
1048,احسب: 3/4 + 1/4,1/2,2/4,1/1,4/4,جمع الكسور,1,C1-2
1049,احسب: 4/12 + 7/12,11/12,11/24,3/12,11/12,جمع الكسور,1,C1-2
1050,احسب: 1/10 + 2/10,3/10,3/10,1/10,3/20,جمع الكسور,1,C1-2
1051,احسب: 2/6 + 3/6,5/6,1/6,5/12,5/6,جمع الكسور,1,C1-2
1052,احسب: 3/5 + 4/5,7/5,7/10,7/5,1/5,جمع الكسور,1,C1-2
1053,احسب: 5/8 + 5/8,10/8,0/8,5/8,5/4,جمع الكسور,1,C1-2
1054,احسب: 5/10 + 3/10,8/10,4/10,4/5,2/10,جمع الكسور,1,C1-2
1055,احسب: 3/6 + 2/6,5/6,5/6,1/6,5/12,جمع الكسور,1,C1-2
1056,قارن: 9/12 ___ 1/10,>,>,=,<,مقارنة الأعداد النسبية,1,C1-3
1057,قارن: 3/3 ___ 5/3,<,<,=,>,مقارنة الأعداد النسبية,1,C1-3
1058,قارن: 4/5 ___ 6/12,>,>,=,<,مقارنة الأعداد النسبية,1,C1-3
1059,قارن: 5/3 ___ 1/12,<,>,>,=,مقارنة الأعداد النسبية,1,C1-3
1060,قارن: 1/4 ___ 6/12,=,>,<,<,مقارنة الأعداد النسبية,1,C1-3
1061,قارن: 9/10 ___ 7/2,>,<,=,<,مقارنة الأعداد النسبية,1,C1-3
1062,قارن: 9/7 ___ 1/11,<,>,=,>,مقارنة الأعداد النسبية,1,C1-3
1063,قارن: 1/7 ___ 5/2,>,=,<,<,مقارنة الأعداد النسبية,1,C1-3
